"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AG01"	"AG01_01"	"AG01_02"	"AG01_03"	"AG01_04"	"AG01_05"	"AG01_06"	"AG01_07"	"AG01_07a"	"AG02_01"	"AG03_01"	"AG03_02"	"AG03_03"	"AG03_04"	"AG03_05"	"AG03_06"	"AG03_07"	"AG03_08"	"AG03_09"	"AG03_10"	"AG03_11"	"AG04_01"	"AG05_01"	"AG05_02"	"AG05_03"	"AG05_04"	"AG05_05"	"AG05_06"	"AG05_07"	"AG05_08"	"AG05_09"	"AG05_10"	"AG05_11"	"AG05_12"	"AG05_13"	"AG05_14"	"AG05_15"	"AG05_16"	"AG05_17"	"AG05_18"	"AG06_01"	"AG06_02"	"AG06_03"	"AG06_04"	"AG06_05"	"AG06_06"	"AG06_07"	"AG06_08"	"AG06_09"	"AG06_10"	"AG06_11"	"AG06_12"	"AG08_01"	"AG10_01"	"AG10_02"	"CO01_01"	"CO01_02"	"CO01_03"	"CO02_01"	"CO02_02"	"CO02_03"	"CO03_01"	"CO03_02"	"CO03_03"	"CO03_04"	"CO03_05"	"CO03_06"	"CO03_07"	"CO03_08"	"CO04_01"	"CO04_02"	"CO04_03"	"CO04_04"	"CO04_05"	"CO04_06"	"CO04_07"	"CO04_08"	"CO05_01"	"CO05_02"	"CO05_03"	"CO05_04"	"CO05_05"	"CO05_06"	"CO05_07"	"CO05_08"	"CO06_01"	"CO07_01"	"CO08_01"	"CO11_01"	"CO11_02"	"GI01_01"	"GI01_02"	"GI01_03"	"GI01_04"	"GI01_05"	"GI01_07"	"GI01_08"	"GI01_09"	"GI02_01"	"GS01_01"	"GS01_02"	"GS01_03"	"GS01_04"	"GS01_05"	"GS01_06"	"GS01_07"	"GS02_01"	"GS02_02"	"GS02_03"	"RWA_01"	"RWA_02"	"RWA_03"	"SDO_01"	"SDO_02"	"SDO_03"	"SX_01"	"SX_02"	"SX_03"	"SX_04"	"SX_05"	"SX_06"	"TX_01"	"TX_02"	"TX_03"	"TX_04"	"TX_05"	"TX_06"	"TX_07"	"TX_08"	"SD01"	"SD01_01"	"SD01_02"	"SD01_03"	"SD01_04"	"SD01_05"	"SD02"	"SD03"	"SD04"	"SD04_04"	"SD05"	"SD06"	"SD06_10"	"SD07"	"SD08_01"	"SD09"	"SD10_01"	"SD11"	"SD12_01"	"SD14"	"SD15"	"SN01_01"	"SN01_02"	"SN01_03"	"SN01_04"	"SN01_05"	"SN01_06"	"SN01_07"	"SN01_08"	"SN01_09"	"SN02_01"	"SN02_02"	"SN02_03"	"SN02_04"	"SN02_05"	"SN02_06"	"SN02_07"	"SN02_08"	"SN02_09"	"SN04_01"	"SO01_01"	"XX03"	"XX12"	"XX19"	"XX21"	"TIME002"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME024"	"TIME026"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
119		"8407"	"base"	"interview"	2024-03-11 16:32:35	1	F	T	F	F	F	F	F		"Sehr geehrte/r A. Hausach, ...."	5	5	1	5	5	5	5	3	5	4	5	71	4	3	5	4	3	1	4	5	3	4	5	5	5	4	4	4	4	5	1	-1	3	5	4	2	1	2	5	-1	-1	-1				7	2	3	1	1	1	4	1	3	3	1	6	7	1	1	2	1	1	1	1	1	1	3	3	1	2	1	1	1	1				1	1	5	1		5		5	5	4		2	5	5	5	5	5	5	3	3	4	1	1	5	3	3	3	1	1	2	1	3	4	1	1	3	1	5	5	1	5	1	T	F	F	F	F	7	7	1		1	7				2	"Psychologie"		0	1	2	14	39	99	67	101	90	60	37	51	16	30	95	95	98	95	98	99	65			2	1	1	1	4		4	4	8	36	80	153	29	23	76	93	154	112	6	37	30	26		9	1		885		2024-03-11 16:47:20	T	F	24	24	5	1	1.43
120		"7048"	"base"	"interview"	2024-03-11 16:37:29	1	F	T	F	F	F	F	F		"Hallo A. Hausach"	5	5	5	5	5	5	4	4	5	5	5	99	2	2	4	2	1	1	1	4	2	4	3	5	4	4	5	1	2	5	4	5	5	4	5	5	5	4	5	4	4	4				3	3	3	1	1	1	3	2	2	3	1	1	3	1	1	3	2	1	1	1	1	1	2	2	2	2	1	1	1	1				2	1	2	5		2		4	3	3	"Eltern, Akademiker:imnen im Mittelbau"	5	5	4	5	5	4	4	3	2	3	1	1	5	3	3	1	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1	T	F	F	F	F	1	1	1		4	11				2	"Psychologie"		6	1	2	84	23	94	53	98	60	55	91	54	52	25	96	51	95	53	53	76	56			2	1	1	1	5		3	5	5	95	44	91	22	47	95	120	126	111	8	71	31	29		9	3		920		2024-03-11 16:52:49	T	F	24	24	5	1	1.25
122		"3733"	"base"	"interview"	2024-03-11 16:43:10	4	T	T	T	F	T	F	F		"Sehr geehrte(r) Hausach"	2	3	1	3	2	2	1	1	1	1	4	11	5	5	3	5	5	1	5	5	5	5	5	5	1	1	3	5	5	5	1	4	5	4	4	3	1	-1	4	-1	1	1				4	1	2	3	1	1	1	3	1	4	4	4	4	1									3	3	1	3	1	1	1	1				1	1	5	5		5		5	5	3		4	3	5	4	5	5	2	4	3	3	1	1	5	1	2	3	3	3	4	1	2	2	1	1	5	1	5	5	5	5	1	T	F	F	F	F	10	10	1		2	8				2	"Psychologie"		4	2	2	1	-9	82	45	96	56	47	40	1	1	1	101	53	85	1	29	1	1			2	1	1	1	4		4	5	3	45	95	135	50	51	69	123	122	166	8	41	32	19		8	2		982		2024-03-11 16:59:32	T	F	24	24	6	1	1.31
123		"10870"	"base"	"interview"	2024-03-11 16:47:00	1	F	F	F	T	F	F	F			4	3	3	4	4	2	1	5	5	5	4	73	4	4	2	4	4	5	3	3	3	4	3	5	4	4	3	4	3	5	5	4	3	5	3	5	-1	3	3	5	2	5				6	4	6	5	5	6	6	7	5	6	6	6	5	5	6	5	5	5	7	4	6	6	6	4	5	7	6	7	6	5				6	5	3	5		3		5	3	5		2	3	4	2	3	4	3	3	2	4	3	4	5	5	4	5	3	4	3	4	3	4	4	2	5	4	4	4	5	3	1	T	F	F	F	F	9	9	3		1	1				1				2	1	34	84	54	75	62	84	87	47	63	71	61	82	73	57	44	91	84	77			2	1	1	1	8		3	3	2	9	6	24	9	12	32	22	29	23	4	18	9	4		6	1		224		2024-03-11 16:50:45	T	F	24	24	7	3	2.72
124		"3262"	"base"	"interview"	2024-03-11 17:08:13	3	T	T	F	F	T	F	F		"Sehr geehrtes Team der Fernuni Hagen (z. H. A. Hausach), 
..."	1	2	2	2	2	2	1	1	1	1	2	17	5	5	5	5	4	1	5	5	4	5	5	5	2	2	5	5	5	2	1	2	3	3	3	4	1	2	5	1	1	1				4	2	3	3	1	3	2	1	3	3	3	3	5	1	1	2	1	1	2	1	1	1	3	3	1	3	2	1	1	1				2	3	3	5		5		5	4	3	"Christen, Hochsensible"	5	4	5	5	4	5	5	1	4	2	3	3	3	4	2	5	5	5	5	2	3	2	2	1	5	2	5	5	5	5	1	T	F	F	F	F	2	2	1		2	8				2	"Psychologie"		6	1	2	3	40	97	91	101	79	66	32	18	10	24	95	66	99	35	46	34	12			2	1	1	1	5		3	2	4	37	98	70	27	27	57	74	92	100	2	26	20	26		5	1		676		2024-03-11 17:19:29	T	F	24	24	5	1	1.82
125		"9256"	"base"	"interview"	2024-03-11 17:10:08	1	F	T	F	F	F	F	F		"Guten Tag A. Hausach,"	5	5	5	5	5	5	4	5	5	5	5	72	4	1	1	1	1	1	1	2	3	1	2	4	5	4	4	1	3	5	3	5	5	5	5	5	-1	5	5	-1	5	-1				6	3	6	1	1	1	5	1	1	3	3	1	1	1	3	3	1	3	3	3	1	1	1	3	1	1	1	1	1	1				3	1	5	5		5		5	5	1	"Mit Menschen, die demokratische Werte teilen."	5	5	5	5	4	5	5	3	2	4	1	4	5	4	1	1	1	1	1	1	1	1	1	1	1	5	5	5	1	3	1	T	F	F	F	F	3	9	1		3	8			"Danke."	2	"Psychologie"		0	1	2	92	56	100	97	99	88	95	91	97	72	57	95	87	101	94	96	94	88		"Ich finde es gut, wie die FernUniversität sich dem Thema widmet und es proaktiv angeht, und damit zu einem gesellschaflichen Wandel beiträgt."	2	1	1	1	21		7	8	5	53	39	62	36	80	91	220	121	123	79	37	16	30		16	3		1047		2024-03-11 17:27:35	T	F	24	24	3	0	1.06
126		"9517"	"base"	"interview"	2024-03-11 17:20:03	1	F	T	F	F	F	F	F			5	5	4	5	5	5	5	4	5	5	5	83	2	2	2	2	1	1	3	2	2	3	2	4	3	3	3	2	1	3	4	5	5	5	5	5	5	5	5	4	-1	-1				3	3	3	2	1	1	4	3	1	3	1	5	7	1	1	3	1	1	1	1	1	1	4	4	1	3	1	1	1	1				3	1	4	4		4		4	3	4		4	4	4	4	4	4	4	1	1	3	1	2	5	1	2	1	1	1	1	1	1	1	1	1	2	2	5	5	2	4	1	T	F	F	F	F	6	3	1		2	8				2				1	2	86	50	101	53	101	53	89	88	84	79	92	101	101	101	101	101	101	98			2	1	1	1	6		3	3	7	49	24	69	20	33	74	72	100	122	6	52	12	19		8	3		682		2024-03-11 17:31:25	T	F	24	24	7	3	1.61
127		"16246"	"base"	"interview"	2024-03-11 17:20:45	1	F	F	T	F	F	F	F		"Sehr geehrte/r A. Hausach,"	4	4	4	4	3	4	2	2	4	4	4	92	3	1	4	5	3	1	5	3	3	3	4	4	4	1	4	3	3	5	1	5	5	5	3	4	3	3	5	3	3	2				5	1	1	1	1	1	6	1	1	5	1	5	1	1																				1	1	3	4		5		5	3	3	"religiöse Gemeinschaft"	5	4	5	5	5	5	5	3	1	1	3	2	5	3	5	1	4	2	4	1	1	4	5	5	5	2	-9	-9	5	5	1	T	F	F	F	F	8	8	1		1	8				2	"Psychologie"		0	1	2	34	101	85	96	99	82	85	81	71	29	101	101	97	101	101	101	60	55			2	1	1	1	4		4	4	3	1705	79818	1916	49	21	38	87	133	232	2	43	19	18		6	1		904		2024-03-12 16:42:28	T	F	24	24	5	2	1.53
128		"14467"	"base"	"interview"	2024-03-11 17:38:16	3	T	T	F	F	T	F	F		"Guten Tag A. Hausach,

....

"	2	2	1	2	2	2	1	2	2	2	2	21	5	4	3	5	3	1	3	4	4	3	3	5	2	2	5	5	5	2	1	5	5	5	5	5	1	3	5	1	-1	1				3	3	4	1	1	1	6	3	2	3	1	1	7	1	1	3	1	1	3	1	1	1	4	4	1	3	1	1	1	1				1	1	5	5		5		5	5	4		5	5	5	5	5	5	5	1	4	1	3	3	3	1	2	2	4	4	4	1	3	2	3	3	2	3	5	5	4	3	1	T	F	F	F	F	3	5	2		1	7				2	"B.Sc. Psychologie"		5	1	2	35	30	94	56	101	84	55	38	4	19	27	69	46	66	63	50	37	4			2	1	1	1	7		7	5	10	50	229	152	32	42	87	157	168	227	12	52	48	39		12	1		1337		2024-03-11 18:00:33	T	F	24	24	5	1	1.01
129		"20536"	"base"	"interview"	2024-03-11 18:11:32	2	F	T	T	F	F	F	F		"Sehr geehrte/r Herr/ Frau Hausach"	5	5	5	5	5	5	5	5	5	5	5	101	1	1	2	1	1	1	3	3	2	2	1	5	4	3	4	1	1	4	4	5	5	5	5	5	4	4	5	5	4	4				4	3	4	2	1	1	4	1	3	3	3	3	3	2	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1				2	1	4	4		4		3	4	3		4	4	3	3	3	3	3	2	2	2	1	1	4	2	3	1	3	1	3	1	1	1	1	1	2	4	5	5	1	1	1	T	F	F	F	F	3	3	1		2	7				2	"Psychologie "		3	1	2	71	41	64	71	89	72	74	58	71	69	44	63	58	68	60	65	57	63			2	1	1	1	12		4	4	11	43	96	90	51	61	87	150	156	186	13	43	24	30		13	3		1077		2024-03-11 18:29:29	T	F	24	24	5	1	1
131		"12460"	"base"	"interview"	2024-03-11 18:17:07	1	F	T	F	F	F	F	F		"Sehr geehrte/geehrter A. Hausach"	5	5	4	5	5	5	4	4	4	4	5	101	1	1	2	1	1	1	1	1	1	1	1	5	5	5	5	1	1	5	3	5	5	5	-1	3	-1	4	5	-1	-1	-1				4	1	1	1	1	1	1	3	4	1	4	4	4	1																				1	1	1	5		2		3	3	2		5	3	3	5	3	5	5	1	1	2	1	1	5	3	1	3	3	1	1	1	1	1	1	1	1	5	5	5	1	1	1	T	F	F	F	F	3	1	1		5	8				2	"Psychologie"		2	1	2	51	35	-9	91	91	-9	91	51	51	51	31	91	81	91	-9	81	91	51			2	1	1	1	5		4	5	12	82	107	145	42	33	42	274	131	147	9	51	24	38		13	2		1166		2024-03-11 18:36:33	T	F	24	24	7	3	1.09
132		"12535"	"base"	"interview"	2024-03-11 18:26:39	2	F	T	F	F	T	F	F		"Sehr geehrte Herr/Frau Hausach "	4	4	2	3	4	4	2	3	2	2	4	31	3	1	4	3	2	1	1	4	3	3	3	4	3	4	2	4	2	5	2	3	4	4	4	4	3	3	5	2	2	2				4	2	3	2	1	3	3	2	3	3	2	5	5	1	3	2	1	3	2	1	1	1	3	2	1	2	1	1	1	1				3	1	3	3		4		4	4	2	"Psychologen "	5	4	4	4	3	4	4	3	4	4	1	3	4	3	2	3	5	4	2	1	1	1	1	1	1	5	5	5	2	3	1	T	F	F	F	F	1	8	1		2	8				2	"Psychologie "		3	1	2	16	27	72	34	80	43	41	50	41	28	23	69	48	81	33	37	43	56			2	1	1	1	8		4	32	4	37	68	156	23	24	109	120	144	86	6	31	21	20		5	6		904		2024-03-11 18:41:43	T	F	24	24	5	1	1.35
133		"12928"	"base"	"interview"	2024-03-11 18:35:39	1	T	F	F	F	F	F	F		"Sehr geehrte/r Herr/Frau Hausach"	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4				4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4				5	5	5	5		5		5	5	1		3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	4	3	3	3	3	3	3	3	3	3	3	3	2	3	3	1	T	F	F	F	F	7	10	1		2	7				2	"Pscho"		1	2	2	101	64	36	76	49	53	51	79	65	79	83	81	63	39	66	77	57	65			2	1	2	1	7		2	5	2	35	71	25	6	5	21	13	14	17	0	23	13	7		6	3		275		2024-03-11 18:40:14	T	F	24	24	5	1	2.4
134		"11077"	"base"	"interview"	2024-03-11 18:37:25	1	F	F	T	F	F	F	F		"Sehr geehrte Damen und Herren"	4	4	4	4	5	4	4	4	4	4	4	79	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	3	3	3	3	3	3				3	3	3	1	1	1	3	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1				3	1	4	5		4		4	4	3		5	3	3	3	3	3	3	3	2	2	1	1	5	3	2	3	5	1	3	1	1	3	1	1	1	5	5	5	1	5	1	T	F	F	F	F	3	3	1		2	5				2	"Psychologie"		2	1	2	59	60	61	68	71	54	64	60	65	61	62	60	64	62	57	60	62	62			2	1	1	1	49		5	11	9	108	70	84	80	46	140	205	63	253	14	49	48	16		13	5		1226		2024-03-11 18:58:34	T	F	24	24	5	1	0.9
